,zipcode,density,density_bins
79315,91202,4300.7,1
79316,78704,1871.5,0
79317,78758,1832.3,0
79318,91354,1271.0,0
79319,10002,35781.9,3
79320,90026,6203.7,1
79321,90042,5186.6,1
79322,90631,1878.6,0
79323,10011,29744.0,3
79324,10017,20189.9,3
79325,60613,8572.6,2
79326,70118,2720.8,0
79327,02115,15513.0,3
79328,92109,2325.7,0
79329,10452,29444.3,3
79330,11211,15047.6,3
79331,97220,1531.1,0
79332,37221,273.5,0
79333,60614,8244.5,2
79334,37219,2111.8,0
79335,90024,6239.3,1
79336,90018,6574.4,1
79337,11211,15047.6,3
79338,02116,12631.6,2
79339,98103,3815.7,1
79340,78758,1832.3,0
79341,02131,4451.7,1
79342,98102,6228.4,1
79343,11211,15047.6,3
79344,94134,6569.2,1
79345,20016,2829.2,0
79346,11105,8420.6,2
79347,02119,6125.8,1
79348,10019,23754.2,3
79349,28803,289.0,0
79350,20002,3852.6,1
79351,60637,4220.3,1
79352,11216,22433.5,3
79353,90014,9550.9,2
79354,90265,64.9,0
79355,90265,64.9,0
79356,10016,39315.3,3
79357,90035,5357.4,1
79358,90064,2445.3,0
79359,20005,11575.2,2
79360,28801,1142.1,0
79361,02120,9444.0,2
79362,91748,1211.8,0
79363,92103,3184.4,1
79364,98101,7613.3,2
79365,90027,2143.2,0
79366,98117,3142.1,1
79367,20016,2829.2,0
